index, frame, sample, time, raw[0], cal[0]
0,10,0,0.0197955,16064,22.5907
1,11,0,0.039591,16064,22.5907
2,13,0,0.0593865,16034,22.0563
3,15,0,0.079182,16081,22.8935
4,17,0,0.0989775,16059,22.5016
5,18,0,0.118773,16065,22.6085
6,20,0,0.138569,16052,22.3769
7,22,0,0.158364,16061,22.5372
8,23,0,0.17816,16061,22.5372
9,24,0,0.197955,16064,22.5907
10,26,0,0.217751,16084,22.9469
11,28,0,0.237546,16041,22.181
12,30,0,0.257342,16078,22.84
13,33,0,0.277137,16058,22.4838
14,34,0,0.296933,16056,22.4482
15,36,0,0.316728,16097,23.1784
16,37,0,0.336524,16097,23.1784
17,38,0,0.356319,16083,22.9291
18,40,0,0.376115,16068,22.6619
19,42,0,0.39591,16068,22.6619
20,44,0,0.415706,16040,22.1632
21,46,0,0.435501,16078,22.84
22,48,0,0.455297,16049,22.3235
23,51,0,0.475092,16100,23.2319
24,52,0,0.494888,16077,22.8222
25,56,0,0.514683,16067,22.6441
26,58,0,0.534479,16097,23.1784
27,60,0,0.554274,16077,22.8222
28,62,0,0.57407,16059,22.5016
29,64,0,0.593865,16064,22.5907
30,66,0,0.613661,16094,23.125
31,70,0,0.633456,16090,23.0538
32,71,0,0.653252,16090,23.0538
33,73,0,0.673047,16055,22.4304
34,74,0,0.692843,16086,22.9825
35,76,0,0.712638,16054,22.4126
36,78,0,0.732434,16037,22.1098
37,80,0,0.752229,16057,22.466
38,82,0,0.772025,16058,22.4838
39,84,0,0.79182,16062,22.5551
40,86,0,0.811616,16026,21.9139
41,88,0,0.831411,16050,22.3413
42,89,0,0.851207,16050,22.3413
43,91,0,0.871002,16059,22.5016
44,92,0,0.890798,16060,22.5194
45,94,0,0.910593,16049,22.3235
46,96,0,0.930389,16060,22.5194
47,98,0,0.950184,16070,22.6975
48,100,0,0.96998,16029,21.9673
49,102,0,0.989775,16049,22.3235
50,104,0,1.00957,16088,23.0181
51,106,0,1.02937,16052,22.3769
52,108,0,1.04916,16064,22.5907
53,109,0,1.06896,16064,22.5907
54,111,0,1.08875,16049,22.3235
55,114,0,1.10855,16046,22.2701
56,116,0,1.12834,16080,22.8756
57,118,0,1.14814,16024,21.8782
58,119,0,1.16793,16024,21.8782
59,120,0,1.18773,16076,22.8044
60,122,0,1.20753,16046,22.2701
61,124,0,1.22732,16087,23.0003
62,126,0,1.24712,16084,22.9469
63,127,0,1.26691,16084,22.9469
64,129,0,1.28671,16030,21.9851
65,130,0,1.3065,16073,22.751
66,132,0,1.3263,16069,22.6797
67,134,0,1.34609,16069,22.6797
68,136,0,1.36589,16066,22.6263
69,138,0,1.38569,16042,22.1988
70,140,0,1.40548,16034,22.0563
71,143,0,1.42528,16046,22.2701
72,145,0,1.44507,16062,22.5551
73,147,0,1.46487,16082,22.9113
74,149,0,1.48466,16041,22.181
75,151,0,1.50446,16083,22.9291
76,153,0,1.52425,16044,22.2345
77,155,0,1.54405,16060,22.5194
78,157,0,1.56384,16057,22.466
79,159,0,1.58364,16062,22.5551
80,161,0,1.60344,16058,22.4838
81,163,0,1.62323,16050,22.3413
82,165,0,1.64303,16032,22.0207
83,167,0,1.66282,16079,22.8578
84,169,0,1.68262,16056,22.4482
85,171,0,1.70241,16036,22.092
86,173,0,1.72221,16050,22.3413
87,175,0,1.742,16063,22.5729
88,177,0,1.7618,16053,22.3948
89,179,0,1.7816,16059,22.5016
90,181,0,1.80139,16081,22.8935
91,183,0,1.82119,16054,22.4126
92,185,0,1.84098,16057,22.466
93,187,0,1.86078,16069,22.6797
94,189,0,1.88057,16076,22.8044
95,191,0,1.90037,16073,22.751
96,193,0,1.92016,16085,22.9647
97,195,0,1.93996,16073,22.751
98,197,0,1.95975,16069,22.6797
99,199,0,1.97955,16055,22.4304
